en -- 1

"Declined" : "Declined",
"Success" : "Success",
"Pending" : "Pending",
"Funds" : "Funds",
"Funded By" : "Funded By",
"Funded On" : "Funded On",
"Status" : "Status",
"Amount" : "Amount",
"Notify user" : "Notify user",
"Click on the icon to preview the email" : "Click on the icon to preview the email",
"Email preview" : "Email preview",
"Awardee has been added successfully." : "Awardee has been added successfully.",
"Error while giving award." : "Error while giving award.",
"Save" : "Save",
"Cancel" : "Cancel",
"Error while getting total amount used in this award category." : "Error while getting total amount used in this award category.",
"Error while getting email logo" : "Error while getting email logo",


es -- 2

"Declined" : "Rechazada Rechazado",
"Success" : "Éxito",
"Pending" : "Pendiente",
"Funds" : "Fondos",
"Funded By" : "Fundado por",
"Funded On" : "Financiado en",
"Status" : "Estado",
"Amount" : "Monto",
"Notify user" : "Notificar al usuario",
"Click on the icon to preview the email" : "Haga clic en el icono para obtener una vista previa del correo electrónico",
"Email preview" : "Vista previa por correo electrónico",
"Awardee has been added successfully." : "Premio se ha agregado con éxito.",
"Error while giving award." : "Error mientras otorga el premio.",
"Save" : "Ahorrar",
"Cancel" : "Cancelar",
"Error while getting total amount used in this award category." : "Error al tiempo que se usa la cantidad total en esta categoría de premio.",
"Error while getting email logo" : "Error al obtener el logotipo de correo electrónico",


fr -- 3

"Declined" : "Diminué",
"Success" : "Succès",
"Pending" : "En attente",
"Funds" : "Fonds",
"Funded By" : "Fondé par",
"Funded On" : "Financé sur",
"Status" : "Statut",
"Amount" : "Montante Montant",
"Notify user" : "Informer l'utilisateur",
"Click on the icon to preview the email" : "Cliquez sur l'icône pour prévisualiser l'e-mail",
"Email preview" : "Aperçu par e-mail",
"Awardee has been added successfully." : "Le lauréat a été ajouté avec succès.",
"Error while giving award." : "Erreur lors de la récompense.",
"Save" : "sauvegarder",
"Cancel" : "Annuler",
"Error while getting total amount used in this award category." : "Erreur tout en obtenant le montant total utilisé dans cette catégorie de récompense.",
"Error while getting email logo" : "Erreur lors de l'obtention du logo e-mail",


de -- 4

"Declined" : "Zurückgegangen",
"Success" : "Erfolg",
"Pending" : "Ausstehend",
"Funds" : "Mittel",
"Funded By" : "Gefördert durch",
"Funded On" : "Finanziert auf",
"Status" : "Status",
"Amount" : "Menge",
"Notify user" : "Benutzer benachrichtigen",
"Click on the icon to preview the email" : "Klicken Sie auf das Symbol, um die E -Mail zu sehen",
"Email preview" : "E -Mail -Vorschau",
"Awardee has been added successfully." : "Preisträger wurde erfolgreich hinzugefügt.",
"Error while giving award." : "Fehler bei der Auszeichnung.",
"Save" : "Speichern",
"Cancel" : "Absagen",
"Error while getting total amount used in this award category." : "Fehler bei der Verwendung des Gesamtbetrags in dieser Preiskategorie.",
"Error while getting email logo" : "Fehler beim Erhalten von E -Mail -Logo",


ar -- 5

"Declined" : "رفض",
"Success" : "النجاح",
"Pending" : "قيد الانتظار",
"Funds" : "أموال",
"Funded By" : "بتمويل من",
"Funded On" : "بتمويل على",
"Status" : "حالة",
"Amount" : "مقدار",
"Notify user" : "إخطار المستخدم",
"Click on the icon to preview the email" : "انقر على الرمز لمعاينة البريد الإلكتروني",
"Email preview" : "معاينة البريد الإلكتروني",
"Awardee has been added successfully." : "تمت إضافة جائزة بنجاح.",
"Error while giving award." : "خطأ أثناء منح الجائزة.",
"Save" : "يحفظ",
"Cancel" : "يلغي",
"Error while getting total amount used in this award category." : "خطأ أثناء الحصول على إجمالي المبلغ المستخدم في فئة الجائزة هذه.",
"Error while getting email logo" : "خطأ أثناء الحصول على شعار البريد الإلكتروني",


tr -- 6

"Declined" : "Reddetti",
"Success" : "Başarı",
"Pending" : "Askıda olması",
"Funds" : "Para kaynağı",
"Funded By" : "Tarafından finanse edildi",
"Funded On" : "Finanse edildi",
"Status" : "Durum",
"Amount" : "Tutar",
"Notify user" : "Kullanıcıya bildirin",
"Click on the icon to preview the email" : "E -postayı önizlemek için simgeye tıklayın",
"Email preview" : "E -posta Önizlemesi",
"Awardee has been added successfully." : "Awardee başarıyla eklendi.",
"Error while giving award." : "Ödül verirken hata.",
"Save" : "Kaydetmek",
"Cancel" : "İptal",
"Error while getting total amount used in this award category." : "Bu ödül kategorisinde kullanılan toplam tutarı alırken hata.",
"Error while getting email logo" : "E -posta logosu alırken hata",


zh-CN -- 7

"Declined" : "拒绝",
"Success" : "成功",
"Pending" : "待办的",
"Funds" : "资金",
"Funded By" : "由",
"Funded On" : "资助",
"Status" : "地位",
"Amount" : "数量",
"Notify user" : "通知用户",
"Click on the icon to preview the email" : "单击图标预览电子邮件",
